"ID","Name","Type","Rarity"
"Skin.Alokin.Livery01","Ford Mustang GTD: GTD","Decal","Ford"
"Skin.Alokin.Livery02","Ford Mustang GTD: Pony Sprinter","Decal","Ford"
"Skin.Alokin.Livery03","Ford Mustang GTD: T-Pain","Decal","Ford"
"Skin.Amber.1","007's Aston Martin DB5: Reel Life","Decal","Aston Martin"
"Skin.Amber.Default","007's Aston Martin DB5: Aston Martin DB5","Decal","Aston Martin"
"Skin.Amber.Flames","007's Aston Martin DB5: Flames","Decal","Aston Martin"
"Skin.Amber.Lightning","007's Aston Martin DB5: Lightning","Decal","Aston Martin"
"Skin.Amber.Livery01","007's Aston Martin DB5: Solid Gold","Decal","Aston Martin"
"Skin.Amber.Stripes","007's Aston Martin DB5: Stripes","Decal","Aston Martin"
"Skin.Amber.Wings","007's Aston Martin DB5: Wings","Decal","Aston Martin"
"Skin.Arrow.Flames","McLaren P1: Flames","Decal","McLaren"
"Skin.Arrow.Livery01","McLaren P1: Fearless","Decal","McLaren"
"Skin.Arrow.Stripes","McLaren P1: Stripes","Decal","McLaren"
"Skin.Backfire.Carronpizza","Backfire: Cruster Buster","Decal","None"
"Skin.Backfire.Flames","Backfire: Flames","Decal","None"
"Skin.Backfire.Heavy","Backfire: Puppetmaster","Decal","Icon"
"Skin.Backfire.Hologram","Backfire: Greatgrid","Decal","None"
"Skin.Backfire.Lightning","Backfire: Lightning","Decal","None"
"Skin.Backfire.MechHeart","Backfire: Mechanix","Decal","None"
"Skin.Backfire.Retro","Backfire: Checkers","Decal","None"
"Skin.Backfire.Serration","Backfire: Buzz-Cut","Decal","None"
"Skin.Backfire.Skulls","Backfire: Skulls","Decal","None"
"Skin.Backfire.Snake","Backfire: King Fang","Decal","None"
"Skin.Backfire.Stars","Backfire: Stars","Decal","None"
"Skin.Backfire.Stripes","Backfire: Stripes","Decal","None"
"Skin.Backfire.Tech","Backfire: Tech","Decal","None"
"Skin.Backfire.Wings","Backfire: Wings","Decal","None"
"Skin.Banjo.Livery01","The Mystery Machine: Sponsored by Scooby Snacks","Decal","None"
"Skin.Banjo.Livery02","The Mystery Machine: Haunting","Decal","None"
"Skin.Bawu.BawuLivery01","Porsche 918 Spyder: Porsche 918 Spyder","Decal","Porsche"
"Skin.Bawu.GoldenLychee01","Porsche 918 Spyder: Sonic","Decal","None"
"Skin.Bawu.GoldenLychee02","Porsche 918 Spyder: Super Sonic","Decal","NOne"
"Skin.Bawu.GoldenLychee03","Porsche 918 Spyder: Knuckles","Decal","None"
"Skin.BB.Flames","Battle Bus: Flames","Decal","None"
"Skin.BB.Lightning","Battle Bus: Lightning","Decal","None"
"Skin.BB.Livery1","Battle Bus: Mecha Battle Bus","Decal","None"
"Skin.BB.Livery2","Battle Bus: Rocket Battle Bus","Decal","None"
"Skin.BB.Stripes","Battle Bus: Stripes","Decal","None"
"Skin.BB.Wings","Battle Bus: Wings","Decal","None"
"Skin.BeakT1.Clean","Emperor: ShapeUp","Decal","None"
"Skin.BeakT1.Flames","Emperor: Flames","Decal","None"
"Skin.BeakT1.Frosted","Emperor: Ombre","Decal","None"
"Skin.BeakT1.Huntress","Emperor: Huntress","Decal","None"
"Skin.BeakT1.Lightning","Emperor: Lightning","Decal","None"
"Skin.BeakT1.Litesmoke","Emperor: Brume","Decal","None"
"Skin.BeakT1.Stripes","Emperor: Stripes","Decal","None"
"Skin.BeakT1.Wings","Emperor: Wings","Decal","None"
"Skin.BlueTorque.01","Porsche Cayenne Turbo Electric: Tracer","Decal","Gaming Legends"
"Skin.BlueTorque.02","Porsche Cayenne Turbo Electric: D.Va","Decal","Gaming Legends"
"Skin.BlueTorque.03","Porsche Cayenne Turbo Electric: Mercy","Decal","Gaming Legends"
"Skin.BlueTorque.04","Porsche Cayenne Turbo Electric: Genji","Decal","Gaming Legends"
"Skin.BlueTorque.BlueTorqueLivery01","Porsche Cayenne Turbo Electric: Psych Wave","Decal","Porsche"
"Skin.BoberT1.Flames","BMW 1 Series: Flames","Decal","BMW"
"Skin.BoberT1.Lightning","BMW 1 Series: Lightning","Decal","BMW"
"Skin.BoberT1.Livery1","BMW 1 Series: F70","Decal","BMW"
"Skin.BoberT1.Livery2","BMW 1 Series: Outlands","Decal","BMW"
"Skin.BoberT1.Livery3","BMW 1 Series: Fiercefield","Decal","BMW"
"Skin.BoberT1.Livery5","BMW 1 Series: Finely Tooned","Decal","BMW"
"Skin.BoberT1.Reellife","BMW 1 Series: Skyscraper Grey","Decal","BMW"
"Skin.BoberT1.Stripes","BMW 1 Series: Stripes","Decal","BMW"
"Skin.BoberT1.Wings","BMW 1 Series: Wings","Decal","BMW"
"Skin.BoberT2.Flames","BMW 1 Series RLE: Flames","Decal","BMW"
"Skin.BoberT2.Lightning","BMW 1 Series RLE: Lightning","Decal","BMW"
"Skin.BoberT2.Livery1","BMW 1 Series RLE: F70","Decal","BMW"
"Skin.BoberT2.Livery2","BMW 1 Series RLE: Outlands","Decal","BMW"
"Skin.BoberT2.Livery3","BMW 1 Series RLE: Fiercefield","Decal","BMW"
"Skin.BoberT2.Livery5","BMW 1 Series RLE: Finely Tooned","Decal","BMW"
"Skin.BoberT2.Reellife","BMW 1 Series RLE: Skyscraper Grey","Decal","BMW"
"Skin.BoberT2.Stripes","BMW 1 Series RLE: Stripes","Decal","BMW"
"Skin.BoberT2.Wings","BMW 1 Series RLE: Wings","Decal","BMW"
"Skin.Brick.BigDidge","Tygris: Platformer","Decal","None"
"Skin.Brick.Flames","Tygris: Flames","Decal","None"
"Skin.Brick.Lightning","Tygris: Lightning","Decal","None"
"Skin.Brick.Misterrad","Tygris: Mister Rad","Decal","None"
"Skin.Brick.NineK","Tygris: Full Speed","Decal","None"
"Skin.Brick.Simplefade","Tygris: Silencer","Decal","None"
"Skin.Brick.Stripes","Tygris: Stripes","Decal","None"
"Skin.Brick.TechArrows","Tygris: Vector","Decal","None"
"Skin.Brick.Viz01","Tygris: Invincible","Decal","None"
"Skin.Brick.Viz02","Tygris: Omni-Man","Decal","None"
"Skin.Brick.Viz03","Tygris: Atom Eve","Decal","None"
"Skin.Bullet.Flames","McLaren Senna: Flames","Decal","McLaren"
"Skin.Bullet.Livery1","McLaren Senna: Iron Man","Decal","Marvel"
"Skin.Bullet.Livery2","McLaren Senna: Doctor Doom","Decal","Marvel"
"Skin.Bullet.Livery3","McLaren Senna: War Machine","Decal","Marvel"
"Skin.Bullet.Livery4","McLaren Senna: Pandora's Armor Doom","Decal","Marvel"
"Skin.Bullet.ReelLife","McLaren Senna: Victory Grey","Decal","McLaren"
"Skin.Bullet.Lightning","McLaren Senna: Lightning","Decal","McLaren"
"Skin.Bullet.Stripes","McLaren Senna: Stripes","Decal","McLaren"
"Skin.Bullet.Wings","McLaren Senna: Wings","Decal","McLaren"
"Skin.BurnishedRaven.Flames","?INT?Product","Decal","None"
"Skin.BurnishedRaven.Lightning","?INT?Product","Decal","None"
"Skin.BurnishedRaven.Livery01","?INT?Product","Decal","None"
"Skin.BurnishedRaven.Stripes","?INT?Product","Decal","None"
"Skin.BurnishedRaven.Wings","?INT?Product","Decal","None"
"Skin.ButterT1.Flames","Porsche 911 Turbo: Flames","Decal","Porsche"
"Skin.ButterT1.Frosted","Porsche 911 Turbo: Ombre","Decal","Porsche"
"Skin.ButterT1.Huntress","Porsche 911 Turbo: Huntress","Decal","Porsche"
"Skin.ButterT1.Lightning","Porsche 911 Turbo: Lightning","Decal","Porsche"
"Skin.ButterT1.Mobil","Porsche 911 Turbo: Mobil 1","Decal","Porsche"
"Skin.ButterT1.Rainbow","Porsche 911 Turbo: Porsche 75th Anniversary","Decal","Porsche"
"Skin.ButterT1.Stripes","Porsche 911 Turbo: Stripes","Decal","Porsche"
"Skin.ButterT1.Wings","Porsche 911 Turbo: Wings","Decal","Porsche"
"Skin.ButterT2.Flames","Porsche 911 Turbo RLE: Flames","Decal","Porsche"
"Skin.ButterT2.Frosted","Porsche 911 Turbo RLE: Ombre","Decal","Porsche"
"Skin.ButterT2.Huntress","Porsche 911 Turbo RLE: Huntress","Decal","Porsche"
"Skin.ButterT2.Lightning","Porsche 911 Turbo RLE: Lightning","Decal","Porsche"
"Skin.ButterT2.Mobil","Porsche 911 Turbo RLE: Mobil 1","Decal","Porsche"
"Skin.ButterT2.Rainbow","Porsche 911 Turbo RLE: Porsche 75th Anniversary","Decal","Porsche"
"Skin.ButterT2.Stripes","Porsche 911 Turbo RLE: Stripes","Decal","Porsche"
"Skin.ButterT2.Wings","Porsche 911 Turbo RLE: Wings","Decal","Porsche"
"Skin.CarCar.Esports","Breakout Type-S: RLCS","Decal","None"
"Skin.CarCar.Hyperflight","Breakout Type-S: Hyper-Flight","Decal","None"
"Skin.CarCar.Ripple","Breakout Type-S: Shockwave","Decal","None"
"Skin.CarCar.Skulls","Breakout Type-S: Skulls","Decal","None"
"Skin.CarCar.Smored","Breakout Type-S: S'mored","Decal","None"
"Skin.Carrot.Infernal","Diestro: Old Flame","Decal","None"
"Skin.Carrot.Livery","Diestro: Lozano","Decal","None"
"Skin.Carrot.PanelCracked","Diestro: Rico","Decal","None"
"Skin.Carrot.Sofly","Diestro: Sooo Fly","Decal","None"
"Skin.Carrot.Stripes","Diestro: Stripes","Decal","None"
"Skin.Carrot.Stuntman","Diestro: Stuntman","Decal","None"
"Skin.Carrot.Tape","Diestro: Chitchat","Decal","None"
"Skin.Carrot.Twotone","Diestro: Two-Tone","Decal","None"
"Skin.Challah.01","Fast & Furious Dodge Charger: Alameda Twin","Decal","Dodge"
"Skin.Challah.02","Fast & Furious Dodge Charger: Good Graces","Decal","Dodge"
"Skin.Challah.03","Fast & Furious Dodge Charger: Sinclair","Decal","Dodge"
"Skin.Challah.04","Fast & Furious Dodge Charger: Wheelman","Decal","Dodge"
"Skin.Challah.B","Fast & Furious Dodge Charger: Reel Life","Decal","Dodge"
"Skin.Challah.Flames","Fast & Furious Dodge Charger: Flames","Decal","Dodge"
"Skin.Challah.Stripes","Fast & Furious Dodge Charger: Stripes","Decal","Dodge"
"Skin.Charged.CleanCut","Ice Charger: Clean Cut","Decal","Dodge"
"Skin.Charged.Flames","Ice Charger: Flames","Decal","Dodge"
"Skin.Charged.Graffiti","Ice Charger: Rakugaki","Decal","Dodge"
"Skin.Charged.Ice","Ice Charger: Crazy Sandwich","Decal","Dodge"
"Skin.Charged.Letty","Ice Charger: CDXL","Decal","Dodge"
"Skin.Charged.Walker","Ice Charger: Rally","Decal","Dodge"
"Skin.Chip.Electricvein","Sentinel: MangaTec","Decal","None"
"Skin.Chip.Faceted","Sentinel: Faceted","Decal","None"
"Skin.Chip.Flames","Sentinel: Flames","Decal","None"
"Skin.Chip.Lightning","Sentinel: Lightning","Decal","None"
"Skin.Chip.Sideline","Sentinel: Sideline","Decal","None"
"Skin.Chip.Stripes","Sentinel: Stripes","Decal","None"
"Skin.Chip.Techarrows","Sentinel: Vector","Decal","None"
"Skin.Chip.Wings","Sentinel: Wings","Decal","None"
"Skin.Chrisp.01","BMW M3 (E30): Red Ranger","Decal","None"
"Skin.Chrisp.02","BMW M3 (E30): Black Ranger","Decal","None"
"Skin.Chrisp.03","BMW M3 (E30): Yellow Ranger","Decal","None"
"Skin.Chrisp.04","BMW M3 (E30): Blue Ranger","Decal","None"
"Skin.Chrisp.05","BMW M3 (E30): Pink Ranger","Decal","None"
"Skin.Chrisp.06","BMW M3 (E30): Green Ranger","Decal","None"
"Skin.Chrisp.07","BMW M3 (E30): White Ranger","Decal","None"
"Skin.Chrisp.Livery1","BMW M3 (E30): N-Tro","Decal","BMW"
"Skin.Chrisp.Livery2","BMW M3 (E30): M Series","Decal","BMW"
"Skin.Chrisp.Livery3","?INT?Product","Decal","None"
"Skin.Claw.Alameda","Fast & Furious Dodge Charger SRT Hellcat: Alameda Twin","Decal","Dodge"
"Skin.Claw.Flames","Fast & Furious Dodge Charger SRT Hellcat: Flames","Decal","Dodge"
"Skin.Claw.IRL","Fast & Furious Dodge Charger SRT Hellcat: Reel Life","Decal","Dodge"
"Skin.Claw.Sinclair","Fast & Furious Dodge Charger SRT Hellcat: Sinclair","Decal","Dodge"
"Skin.Claw.SRT","Fast & Furious Dodge Charger SRT Hellcat: Hellcat","Decal","Dodge"
"Skin.Claw.Stripes","Fast & Furious Dodge Charger SRT Hellcat: Stripes","Decal","Dodge"
"Skin.Claw.Wheelman","Fast & Furious Dodge Charger SRT Hellcat: Wheelman","Decal","Dodge"
"Skin.CondorMotor.Livery01","GMC Sierra 2500 AT4X: Professional Gray","Decal","GMC"
"Skin.CondorMotor.Livery02","GMC Sierra 2500 AT4X: Off-Road","Decal","GMC"
"Skin.CondorMotor.Livery03","GMC Sierra 2500 AT4X: Urban Camo","Decal","GMC"
"Skin.Crikey.Flames","Breakout X: Flames","Decal","None"
"Skin.Crikey.Lightning","Breakout X: Lightning","Decal","None"
"Skin.Crikey.Livery1","Breakout X: Corvidae Hubris","Decal","None"
"Skin.Crikey.Livery2","Breakout X: Carrion Colorway","Decal","None"
"Skin.Crikey.Stripes","Breakout X: Stripes","Decal","None"
"Skin.Crikey.Wings","Breakout X: Wings","Decal","None"
"Skin.Cutie.Cutie01","Chevrolet Corvette Stingray: Stingray Pink","Decal","Chevrolet"
"Skin.Drof","Ford F-150: Chairman","Decal","Ford"
"Skin.Drof.D","Ford F-150: Formation BFT","Decal","Ford"
"Skin.Drof.Default","Ford F-150: Slightly Stock","Decal","Ford"
"Skin.Drof.Livery01","Ford F-150: Ford Racing","Decal","Ford"
"Skin.DurianT1.Flames","Chikara: Flames","Decal","None"
"Skin.DurianT1.Jettymcjetjet","Chikara: Mech-Spec","Decal","None"
"Skin.DurianT1.Lightning","Chikara: Lightning","Decal","None"
"Skin.DurianT1.Ninetails","Chikara: Ninetails","Decal","None"
"Skin.DurianT1.Softedge","Chikara: Soft Edge","Decal","None"
"Skin.DurianT1.Stripes","Chikara: Stripes","Decal","None"
"Skin.DurianT1.Watcher","Chikara: Stargazer","Decal","None"
"Skin.Eagle.Livery01","Chevrolet Corvette ZR1: ZR1 Stripes","Decal","Chevrolet"
"Skin.Eagle.Livery02","Chevrolet Corvette ZR1: Sea Wolf Gray","Decal","Chevrolet"
"Skin.Eagle.Livery03","Chevrolet Corvette ZR1: Fish Farewell","Decal","Chevrolet"
"Skin.Eagle.Livery04","Chevrolet Corvette ZR1: ZR1 Circuit","Decal","Chevrolet"
"Skin.Eagle.Livery05","Chevrolet Corvette ZR1: Wonderbot","Decal","Chevrolet"
"Skin.Econ.Flames","Mercedes-Benz CLA: Flames","Decal","Mercedes"
"Skin.Econ.Livery01","Mercedes-Benz CLA: Sung Jinwoo","Decal","Gaming Legends"
"Skin.Econ.Livery02","Mercedes-Benz CLA: Igris","Decal","Gaming Legends"
"Skin.Econ.Livery03","Mercedes-Benz CLA: Solo Leveling:ARISE","Decal","Gaming Legends"
"Skin.Econ.Stripes","Mercedes-Benz CLA: Stripes","Decal","Mercedes"
"Skin.Edison.Flames","Dodge Charger Daytona Scat Pack: Flames","Decal","Dodge"
"Skin.Edison.Lightning","Dodge Charger Daytona Scat Pack: Lightning","Decal","Dodge"
"Skin.Edison.Livery1","Dodge Charger Daytona Scat Pack: Chase Pro","Decal","Dodge"
"Skin.Edison.Livery2","Dodge Charger Daytona Scat Pack: Rumble Bee","Decal","Dodge"
"Skin.Edison.Livery3","Dodge Charger Daytona Scat Pack: EV Circuit","Decal","Dodge"
"Skin.Edison.Livery4","Dodge Charger Daytona Scat Pack: Peel Orange","Decal","Dodge"
"Skin.Edison.Stripes","Dodge Charger Daytona Scat Pack: Stripes","Decal","Dodge"
"Skin.Edison.Wings","Dodge Charger Daytona Scat Pack: Wings","Decal","Dodge"
"Skin.Eggplant.Eggplant02","Batmobile (1989): Jokerized","Decal","DC"
"Skin.Eggplant.Eggplant03","Batmobile (1989): Batman (1989)","Decal","DC"
"Skin.Eggplant.EggplantA","Batmobile (1989): Color Trim","Decal","DC"
"Skin.Eggplant.EggplantB","Batmobile (1989): Reel Life","Decal","DC"
"Skin.Endo.Cupcake","Endo: Cupcake","Decal","None"
"Skin.Endo.Graphic","Endo: Cyrus","Decal","None"
"Skin.Endo.Livery","Endo: Circuit Pro","Decal","None"
"Skin.Endo.Mummy","Endo: Mummified","Decal","None"
"Skin.Endo.Polar","Endo: Polar Force","Decal","None"
"Skin.Endo.SkinOne","Endo: Dyno","Decal","None"
"Skin.Endo.Splat","Endo: Spatter","Decal","None"
"Skin.Endo.Stripes","Endo: Stripes","Decal","None"
"Skin.Endo.Wings","Endo: Wings","Decal","None"
"Skin.FancyFlake.01","?INT?Product","Decal","None"
"Skin.FancyFlake.02","?INT?Product","Decal","None"
"Skin.FancyFlake.03","?INT?Product","Decal","None"
"Skin.FancyFlake.Flames","?INT?Product","Decal","None"
"Skin.FancyFlake.Wings","?INT?Product","Decal","None"
"Skin.Fbrn.Fbrn01","Ford Bronco Raptor: Ford Bronco Raptor","Decal","Ford"
"Skin.Fbrn.Fbrn02","Ford Bronco Raptor: Wood Panel","Decal","Ford"
"Skin.Fbrn.Flames","Ford Bronco Raptor: Flames","Decal","Ford"
"Skin.Fbrn.Lightning","Ford Bronco Raptor: Lightning","Decal","Ford"
"Skin.Fbrn.Stripes","Ford Bronco Raptor: Stripes","Decal","Ford"
"Skin.Fbrn.Wings","Ford Bronco Raptor: Wings","Decal","Ford"
"Skin.Feline.05","K.I.T.T.: Reel Life (Custom)","Decal","None"
"Skin.Feline.B","K.I.T.T.: Reel Life","Decal","None"
"Skin.Feline.Flames","K.I.T.T.: Flames","Decal","None"
"Skin.Feline.Lightning","K.I.T.T.: Lightning","Decal","None"
"Skin.Feline.Stripes","K.I.T.T.: Stripes","Decal","None"
"Skin.Feline.Wings","K.I.T.T.: Wings","Decal","None"
"Skin.Flatbread.8bitlove","Mantis: Pixel Love","Decal","None"
"Skin.Flatbread.storm","Mantis: Uproar","Decal","None"
"Skin.Focaccia.fish","Animus GP: Odd Fish","Decal","None"
"Skin.Focaccia.FocacciaIII","Animus GP: Zhangtek","Decal","None"
"Skin.Focaccia.Freebird","Animus GP: Aquiline","Decal","None"
"Skin.Focaccia.GrimMoon","Animus GP: Necro","Decal","None"
"Skin.Focaccia.King","Animus GP: Rose King","Decal","None"
"Skin.Focaccia.Peacock","Animus GP: Peacock","Decal","None"
"Skin.Focaccia.Pro","Animus GP: Feral","Decal","None"
"Skin.Focaccia.Racer","Animus GP: L-ITA 99","Decal","None"
"Skin.Focaccia.Rockat","Animus GP: Rockat","Decal","None"
"Skin.Focaccia.Senna","Animus GP: Monza","Decal","None"
"Skin.Force.AM","Breakout: Aquaman","Decal","None"
"Skin.Force.Batguy","Breakout: Bat Fang","Decal","None"
"Skin.Force.born2boost","Breakout: Born 2 Boost","Decal","None"
"Skin.Force.broccoli","Breakout: Banzai Broccoli","Decal","None"
"Skin.Force.Chainsawmassacre","Breakout: Chainsaw","Decal","None"
"Skin.Force.Circuit","Breakout: Teknikal","Decal","None"
"Skin.Force.comet","Breakout: Agamid","Decal","None"
"Skin.Force.Crazycatlady","Breakout: 9 Lives","Decal","None"
"Skin.Force.Dueling","Breakout: 10dril","Decal","None"
"Skin.Force.Elephant","Breakout: Mammoth","Decal","None"
"Skin.Force.frog","Breakout: Froggy","Decal","None"
"Skin.Force.Frosted","Breakout: Ombre","Decal","None"
"Skin.Force.FrostedBW","Breakout: No Way Ombre","Decal","None"
"Skin.Force.furball","Breakout: Furry Fanatic","Decal","None"
"Skin.Force.Graffiti","Breakout: Ape Angel","Decal","None"
"Skin.Force.halloween","Breakout: Stitches","Decal","None"
"Skin.Force.huntbo","Breakout: Turbo Huntress","Decal","None"
"Skin.Force.Huntress","Breakout: Huntress","Decal","None"
"Skin.Force.Impulse","Breakout: Turbo","Decal","None"
"Skin.Force.Omens","?INT?Product","Decal","None"
"Skin.Force.PassingBreeze","Breakout: Vice","Decal","None"
"Skin.Force.rudolfo","Breakout: Reindeer Game","Decal","None"
"Skin.Force.Stripes","Breakout: Stripes","Decal","None"
"Skin.Force.TechArrows","Breakout: Vector","Decal","None"
"Skin.Fracture.Mer","Formula 1 2021: Mercedes-AMG Petronas 2021","Decal","None"
"Skin.Fracture.Red","Formula 1 2021: Red Bull 2021","Decal","None"
"Skin.Fracture.Tau","Formula 1 2021: AlphaTauri 2021","Decal","None"
"Skin.Fracture.Wil","Formula 1 2021: Williams 2021","Decal","None"
"Skin.Frog.Colorized","Turtle Van: Classic Custom Turtle Van","Decal","None"
"Skin.Frog.Frog1","Turtle Van: Vandalized","Decal","None"
"Skin.Frog.Frog2","Turtle Van: Pizza Box","Decal","None"
"Skin.Frog.Frog3","Turtle Van: Classic Turtle Van","Decal","None"
"Skin.Fuego.Bubbly","Fast & Furious Pontiac Fiero: Reel Life","Decal","Pontiac"
"Skin.Fuego.Flames","Fast & Furious Pontiac Fiero: Flames","Decal","Pontiac"
"Skin.Fuego.Lightning","Fast & Furious Pontiac Fiero: Lightning","Decal","Pontiac"
"Skin.Fuego.Outlines","Fast & Furious Pontiac Fiero: Circuit Pro","Decal","Pontiac"
"Skin.Fuego.Stripes","Fast & Furious Pontiac Fiero: Stripes","Decal","Pontiac"
"Skin.Fuego.Wings","Fast & Furious Pontiac Fiero: Wings","Decal","Pontiac"
"Skin.Futura.Flames","Azura: Flames","Decal","None"
"Skin.Futura.Lightning","Azura: Lightning","Decal","None"
"Skin.Futura.Livery1","Azura: Chase Pro","Decal","None"
"Skin.Futura.Livery2","Azura: Rumble Bee","Decal","None"
"Skin.Futura.Livery3","Azura: EV Circuit","Decal","None"
"Skin.Futura.Stripes","Azura: Stripes","Decal","None"
"Skin.Futura.Wings","Azura: Wings","Decal","None"
"Skin.Future.Baja","Tesla Cybertruck: Baja Off-Road","Decal","Tesla"
"Skin.Future.Camo","Tesla Cybertruck: CyberCamo","Decal","Tesla"
"Skin.Future.MatteBlack","Tesla Cybertruck: Matte Black","Decal","Tesla"
"Skin.Future.Stainless","Tesla Cybertruck: Stainless Steel","Decal","Tesla"
"Skin.Future.StainlessBusted","Tesla Cybertruck: OMG","Decal","Tesla"
"Skin.Galaxy.Flames","Chevrolet Astro: Flames","Decal","Chevrolet"
"Skin.Galaxy.Lightning","Chevrolet Astro: Lightning","Decal","Chevrolet"
"Skin.Galaxy.Livery01","Chevrolet Astro: Calified","Decal","Chevrolet"
"Skin.Galaxy.Livery02","Chevrolet Astro: Band Van","Decal","Chevrolet"
"Skin.Galaxy.Livery03","Chevrolet Astro: Mall Cop","Decal","Chevrolet"
"Skin.Galaxy.Stripes","Chevrolet Astro: Stripes","Decal","Chevrolet"
"Skin.Galaxy.Wings","Chevrolet Astro: Wings","Decal","Chevrolet"
"Skin.Garage.Garage01","Ferrari F40: Rosso Corsa","Decal","Ferrari"
"Skin.Garage.Garage02","Ferrari F40: GT Solar","Decal","Ferrari"
"Skin.Garage.Garage03","Ferrari F40: GT Go","Decal","Ferrari"
"Skin.Garage.Garage04","Ferrari F40: GT Prototype","Decal","Ferrari"
"Skin.GhostRebel.Llama","Scorpion: Llama-matic","Decal","None"
"Skin.GhostRebel.Society","Scorpion: Society","Decal","None"
"Skin.GhostRebel.Stripes","Scorpion: Stripes","Decal","None"
"Skin.GhostRebel.Underground","Scorpion: Underground","Decal","None"
"Skin.Gilliam.Arctype","Vulcan: ARC","Decal","None"
"Skin.Gilliam.Flames","Vulcan: Flames","Decal","None"
"Skin.Gilliam.medic","Vulcan: Medic","Decal","None"
"Skin.Gilliam.Spaceworm","Vulcan: Space Worm","Decal","None"
"Skin.Gilliam.Stripes","Vulcan: Stripes","Decal","None"
"Skin.Gilliam.UFO","Vulcan: Armada","Decal","None"
"Skin.Grain.Aloha","Fennec: Aloha","Decal","None"
"Skin.Grain.AlpineEsports","Fennec: Alpine Esports","Decal","None"
"Skin.Grain.Amp","?INT?Product","Decal","None"
"Skin.Grain.BaLe","Fennec: Bayer 04 Leverkusen","Decal","None"
"Skin.Grain.BaMu","Fennec: FC Bayern München","Decal","None"
"Skin.Grain.Bdbd","Fennec: Borussia Dortmund","Decal","None"
"Skin.Grain.Bdrbleipzig","Fennec: RB Leipzig","Decal","None"
"Skin.Grain.BdsAway","Fennec: Team BDS (Away)","Decal","None"
"Skin.Grain.Block","Fennec: Ribbon HBF","Decal","None"
"Skin.Grain.Bob","Fennec: Bob's Ramen","Decal","None"
"Skin.Grain.Bolty","Fennec: Zeus","Decal","None"
"Skin.Grain.Bugbite","Fennec: Pinched","Decal","None"
"Skin.Grain.Burst","Fennec: Edge Burst","Decal","None"
"Skin.Grain.Dignitas024","Fennec: Dignitas 2024","Decal","None"
"Skin.Grain.DignitasA","Fennec: Dignitas (Away)","Decal","None"
"Skin.Grain.DignitasAway","Fennec: Dignitas (Away)","Decal","None"
"Skin.Grain.DignitasEsports","Fennec: Dignitas","Decal","None"
"Skin.Grain.EiFr","Fennec: Sport-Club Freiburg","Decal","None"
"Skin.Grain.Elevate024","Fennec: Elevate 2024","Decal","None"
"Skin.Grain.EndgameAway","Fennec: EndGame (Away)","Decal","None"
"Skin.Grain.EndgameHome","Fennec: EndGame (Home)","Decal","None"
"Skin.Grain.Envy","Fennec: Team Envy","Decal","None"
"Skin.Grain.EnvyEsports","Fennec: Envy (Home)","Decal","None"
"Skin.Grain.EnvyEsportsA","Fennec: Envy (Away)","Decal","None"
"Skin.Grain.EunitedA","Fennec: eUnited (Away)","Decal","None"
"Skin.Grain.EunitedEsports","Fennec: eUnited","Decal","None"
"Skin.Grain.Freepin","Fennec: Air Jordan 11","Decal","None"
"Skin.Grain.Frosted","Fennec: Ombre","Decal","None"
"Skin.Grain.Furia","Fennec: Furia (Home)","Decal","None"
"Skin.Grain.Furia024","Fennec: Furia 2024","Decal","None"
"Skin.Grain.FuriaA","Fennec: Furia (Away)","Decal","None"
"Skin.Grain.FuriaAway","Fennec: Furia (Away)","Decal","None"
"Skin.Grain.FuriaHome","Fennec: Furia (Home)","Decal","None"
"Skin.Grain.G2","Fennec: G2 Esports (Home)","Decal","None"
"Skin.Grain.G2024","Fennec: G2 Esports 2024","Decal","None"
"Skin.Grain.G2A","Fennec: G2 Esports (Away)","Decal","None"
"Skin.Grain.G2Esports","Fennec: G2 Esports","Decal","None"
"Skin.Grain.G2EsportsAway","Fennec: G2 Esports (Away)","Decal","None"
"Skin.Grain.G2EsportsHome","Fennec: G2 Esports (Home)","Decal","None"
"Skin.Grain.geng024","Fennec: Gen.G 2024","Decal","None"
"Skin.Grain.gengAway","Fennec: Gen.G (Away)","Decal","None"
"Skin.Grain.gengHome","Fennec: Gen.G (Home)","Decal","None"
"Skin.Grain.ghost","Fennec: Ghost Gaming (Home)","Decal","None"
"Skin.Grain.GhostA","Fennec: Ghost Gaming (Away)","Decal","None"
"Skin.Grain.ghostAway","Fennec: Ghost Gaming (Away)","Decal","None"
"Skin.Grain.Giants","Fennec: Giants (Home)","Decal","None"
"Skin.Grain.GiantsA","Fennec: Giants (Away)","Decal","None"
"Skin.Grain.GuildAway","Fennec: Guild (Away)","Decal","None"
"Skin.Grain.guildEsports","Fennec: Guild (Home)","Decal","None"
"Skin.Grain.GuildEsportsA","Fennec: Guild (Away)","Decal","None"
"Skin.Grain.GuildHome","Fennec: Guild (Home)","Decal","None"
"Skin.Grain.Huntress","Fennec: Huntress","Decal","None"
"Skin.Grain.Huntux","Fennec:Huntress Formal","Decal","None"
"Skin.Grain.KarmineCorp","Fennec: Karmine Corp (Home)","Decal","None"
"Skin.Grain.karminecorp024","Fennec: Karmine Corp 2024","Decal","None"
"Skin.Grain.KarmineCorpA","Fennec: Karmine Corp (Away)","Decal","None"
"Skin.Grain.karminecorpHome","Fennec: Karmine Corp (Home)","Decal","None"
